  
       XFOIL         Version 6.96
  
 Calculated polar for: E63  (4.25%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -2.500  -0.1831   0.06009   0.05427  -0.0427   1.0000   0.2654
  -1.250   0.1977   0.03617   0.02787  -0.1154   1.0000   0.1493
  -1.000   0.2606   0.03248   0.02345  -0.1226   1.0000   0.1181
  -0.750   0.3120   0.03013   0.02038  -0.1272   1.0000   0.1110
  -0.500   0.3518   0.02872   0.01855  -0.1296   1.0000   0.1186
  -0.250   0.3903   0.02746   0.01681  -0.1313   1.0000   0.1233
   0.000   0.4222   0.02644   0.01554  -0.1316   1.0000   0.1408
   0.500   0.4897   0.02301   0.01356  -0.1325   1.0000   1.0000
   0.750   0.5133   0.02356   0.01371  -0.1323   1.0000   1.0000
   1.000   0.5360   0.02416   0.01403  -0.1320   1.0000   1.0000
   1.250   0.5581   0.02482   0.01447  -0.1317   1.0000   1.0000
   1.500   0.5797   0.02553   0.01500  -0.1315   1.0000   1.0000
   1.750   0.6005   0.02630   0.01566  -0.1312   1.0000   1.0000
   2.000   0.6207   0.02714   0.01643  -0.1309   1.0000   1.0000
   2.250   0.6402   0.02806   0.01731  -0.1306   1.0000   1.0000
   2.500   0.6590   0.02907   0.01830  -0.1303   1.0000   1.0000
   2.750   0.6770   0.03017   0.01943  -0.1301   1.0000   1.0000
   3.000   0.6941   0.03137   0.02073  -0.1299   1.0000   1.0000
   3.250   0.7105   0.03271   0.02212  -0.1298   1.0000   1.0000
   3.500   0.7260   0.03417   0.02366  -0.1298   1.0000   1.0000
   3.750   0.7489   0.03588   0.02549  -0.1314   0.9955   1.0000
   4.000   0.8079   0.03735   0.02721  -0.1392   0.9672   1.0000
   4.250   0.8659   0.03806   0.02830  -0.1456   0.9401   1.0000
   4.500   0.9266   0.03814   0.02873  -0.1516   0.9125   1.0000
   4.750   0.9857   0.03756   0.02858  -0.1562   0.8816   1.0000
   5.000   1.0494   0.03600   0.02755  -0.1601   0.8478   1.0000
   5.250   1.1214   0.03277   0.02522  -0.1628   0.8093   1.0000
   5.500   1.2141   0.02684   0.02029  -0.1646   0.7476   1.0000
   5.750   1.2618   0.02428   0.01773  -0.1599   0.5923   1.0000
   6.000   1.2610   0.02644   0.01838  -0.1518   0.3846   1.0000
   6.250   1.2539   0.03124   0.02112  -0.1458   0.1895   1.0000
   6.500   1.2814   0.03589   0.02493  -0.1447   0.1160   1.0000
   6.750   1.3256   0.03994   0.02902  -0.1458   0.0975   1.0000
   7.000   1.3597   0.04389   0.03327  -0.1457   0.0884   1.0000
   7.250   1.3874   0.04797   0.03741  -0.1455   0.0803   1.0000
   7.500   1.4109   0.05258   0.04264  -0.1438   0.0793   1.0000
   7.750   1.4293   0.05757   0.04835  -0.1416   0.0794   1.0000
   8.000   1.4442   0.06267   0.05406  -0.1390   0.0804   1.0000
   8.250   1.4406   0.06742   0.05999  -0.1338   0.0841   1.0000
   8.500   1.4376   0.07333   0.06656  -0.1302   0.0875   1.0000
   8.750   1.4372   0.07932   0.07293  -0.1275   0.0905   1.0000
   9.000   1.4302   0.08506   0.07918  -0.1243   0.0949   1.0000
   9.250   1.4008   0.09068   0.08533  -0.1206   0.0984   1.0000
   9.500   1.3793   0.09624   0.09114  -0.1180   0.1011   1.0000
   9.750   1.3733   0.10255   0.09761  -0.1166   0.1072   1.0000
  10.000   1.3384   0.10741   0.10265  -0.1151   0.1078   1.0000
  10.250   1.3045   0.11366   0.10902  -0.1165   0.1085   1.0000
  10.500   1.2702   0.12194   0.11728  -0.1216   0.1098   1.0000
  10.750   1.2432   0.13263   0.12793  -0.1298   0.1139   1.0000
  11.000   1.0638   0.13564   0.13137  -0.1174   0.1076   1.0000
