  
       XFOIL         Version 6.96
  
 Calculated polar for: MH 117  9.8%                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -3.000  -0.0056   0.01164   0.00500  -0.0780   0.9222   0.3047
  -2.750   0.0275   0.01122   0.00475  -0.0789   0.9148   0.3577
  -2.500   0.0561   0.01089   0.00459  -0.0790   0.9052   0.4147
  -2.250   0.0862   0.01052   0.00442  -0.0792   0.8974   0.4824
  -2.000   0.1121   0.01021   0.00434  -0.0785   0.8871   0.5542
  -1.750   0.1366   0.00992   0.00431  -0.0775   0.8770   0.6323
  -1.250   0.1830   0.00945   0.00428  -0.0740   0.8582   0.7957
  -1.000   0.2061   0.00933   0.00428  -0.0720   0.8482   0.8725
  -0.750   0.2453   0.00923   0.00416  -0.0734   0.8405   0.9408
  -0.500   0.2986   0.00913   0.00397  -0.0783   0.8314   0.9853
  -0.250   0.3362   0.00913   0.00384  -0.0804   0.8212   1.0000
   0.000   0.3593   0.00919   0.00378  -0.0794   0.8107   1.0000
   0.250   0.3831   0.00926   0.00374  -0.0784   0.8001   1.0000
   0.500   0.4068   0.00935   0.00375  -0.0775   0.7887   1.0000
   0.750   0.4314   0.00945   0.00376  -0.0767   0.7779   1.0000
   1.000   0.4566   0.00953   0.00377  -0.0760   0.7676   1.0000
   1.250   0.4822   0.00962   0.00377  -0.0754   0.7573   1.0000
   1.500   0.5074   0.00972   0.00382  -0.0747   0.7457   1.0000
   1.750   0.5329   0.00981   0.00387  -0.0741   0.7343   1.0000
   2.000   0.5587   0.00991   0.00393  -0.0735   0.7230   1.0000
   2.250   0.5848   0.01000   0.00397  -0.0729   0.7117   1.0000
   2.500   0.6109   0.01010   0.00401  -0.0723   0.7000   1.0000
   2.750   0.6365   0.01019   0.00408  -0.0717   0.6871   1.0000
   3.000   0.6623   0.01029   0.00418  -0.0711   0.6739   1.0000
   3.250   0.6880   0.01039   0.00427  -0.0704   0.6602   1.0000
   3.500   0.7137   0.01050   0.00435  -0.0698   0.6459   1.0000
   3.750   0.7393   0.01060   0.00446  -0.0692   0.6307   1.0000
   4.000   0.7648   0.01072   0.00455  -0.0685   0.6147   1.0000
   4.250   0.7898   0.01084   0.00469  -0.0678   0.5959   1.0000
   4.500   0.8147   0.01097   0.00480  -0.0670   0.5760   1.0000
   4.750   0.8393   0.01112   0.00496  -0.0662   0.5535   1.0000
   5.000   0.8634   0.01131   0.00510  -0.0653   0.5284   1.0000
   5.250   0.8869   0.01153   0.00528  -0.0643   0.4990   1.0000
   5.500   0.9097   0.01182   0.00550  -0.0633   0.4649   1.0000
   5.750   0.9315   0.01221   0.00577  -0.0621   0.4263   1.0000
   6.000   0.9524   0.01271   0.00613  -0.0609   0.3848   1.0000
   6.250   0.9726   0.01330   0.00656  -0.0596   0.3442   1.0000
   6.500   0.9921   0.01398   0.00706  -0.0584   0.3042   1.0000
   6.750   1.0115   0.01469   0.00762  -0.0571   0.2654   1.0000
   7.000   1.0305   0.01544   0.00823  -0.0559   0.2308   1.0000
   7.250   1.0491   0.01624   0.00892  -0.0546   0.1983   1.0000
   7.500   1.0670   0.01710   0.00965  -0.0532   0.1692   1.0000
   7.750   1.0845   0.01801   0.01046  -0.0518   0.1449   1.0000
   8.000   1.1007   0.01901   0.01134  -0.0502   0.1256   1.0000
   8.250   1.1171   0.01999   0.01228  -0.0486   0.1098   1.0000
   8.500   1.1327   0.02104   0.01328  -0.0470   0.0975   1.0000
   8.750   1.1491   0.02198   0.01425  -0.0454   0.0871   1.0000
   9.000   1.1653   0.02294   0.01533  -0.0438   0.0782   1.0000
   9.250   1.1782   0.02428   0.01664  -0.0419   0.0712   1.0000
   9.500   1.1934   0.02516   0.01763  -0.0402   0.0643   1.0000
   9.750   1.2044   0.02653   0.01904  -0.0381   0.0582   1.0000
  10.000   1.2161   0.02743   0.02003  -0.0360   0.0524   1.0000
  10.250   1.2249   0.02899   0.02163  -0.0338   0.0470   1.0000
  10.500   1.2345   0.02990   0.02268  -0.0317   0.0418   1.0000
  10.750   1.2402   0.03191   0.02469  -0.0296   0.0371   1.0000
  11.000   1.2474   0.03288   0.02587  -0.0276   0.0323   1.0000
  11.250   1.2485   0.03549   0.02843  -0.0255   0.0281   1.0000
  11.500   1.2545   0.03690   0.03014  -0.0238   0.0252   1.0000
  11.750   1.2575   0.03845   0.03177  -0.0225   0.0221   1.0000
  12.000   1.2551   0.04159   0.03499  -0.0209   0.0198   1.0000
  12.250   1.2574   0.04386   0.03750  -0.0197   0.0180   1.0000
  12.500   1.2584   0.04657   0.04040  -0.0187   0.0170   1.0000
  12.750   1.2581   0.04941   0.04341  -0.0180   0.0162   1.0000
  13.000   1.2563   0.05240   0.04653  -0.0176   0.0155   1.0000
  13.250   1.2513   0.05602   0.05027  -0.0175   0.0147   1.0000
  13.500   1.2427   0.06048   0.05493  -0.0175   0.0143   1.0000
  13.750   1.2307   0.06555   0.06026  -0.0181   0.0141   1.0000
  14.000   1.2145   0.07138   0.06635  -0.0195   0.0140   1.0000
  14.500   1.1824   0.08345   0.07887  -0.0241   0.0139   1.0000
  14.750   1.1654   0.09015   0.08579  -0.0275   0.0139   1.0000
  15.000   1.1529   0.09643   0.09227  -0.0310   0.0140   1.0000
  15.250   1.1329   0.10471   0.10076  -0.0359   0.0140   1.0000
  15.500   1.1190   0.11222   0.10844  -0.0407   0.0141   1.0000
  15.750   1.1046   0.12038   0.11677  -0.0461   0.0142   1.0000
  16.000   1.0871   0.13006   0.12665  -0.0527   0.0145   1.0000
